query_id,candidat_id,system,n_relevant_in_pool,precision@1,recall@1,ndcg@1,mrr@1,hit_rate@1,precision@3,recall@3,ndcg@3,mrr@3,hit_rate@3,precision@5,recall@5,ndcg@5,mrr@5,hit_rate@5,precision@10,recall@10,ndcg@10,mrr@10,hit_rate@10
PPLIK2501090016527,PPLIK2501090016527,pgvector_plus_graph,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.13905617951077562,0.16666666666666666,1.0
PPBZV2501100016661,PPBZV2501100016661,pgvector_only,1,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.2,1.0,0.5,0.3333333333333333,1.0,0.1,1.0,0.5,0.3333333333333333,1.0
PPBZV2501100016661,PPBZV2501100016661,pgvector_plus_graph,1,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.2,1.0,0.5,0.3333333333333333,1.0,0.1,1.0,0.5,0.3333333333333333,1.0
PPBZV2501150017237,PPBZV2501150017237,pgvector_only,8,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.25,0.5307212739772434,0.5,1.0,0.4,0.25,0.38356636737133565,0.5,1.0,0.3,0.375,0.3761604371610926,0.5,1.0
PPBZV2501150017237,PPBZV2501150017237,pgvector_plus_graph,8,1.0,0.125,1.0,1.0,1.0,1.0,0.375,1.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,0.5,0.625,0.7457912185292984,1.0,1.0
PPBZV2501070016199,PPBZV2501070016199,pgvector_only,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.43067655807339306,0.25,1.0,0.1,1.0,0.43067655807339306,0.25,1.0
PPBZV2501070016199,PPBZV2501070016199,pgvector_plus_graph,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
PPBZV2501140017066,PPBZV2501140017066,pgvector_only,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.14201905717762703,0.16666666666666666,1.0
PPBZV2501140017066,PPBZV2501140017066,pgvector_plus_graph,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPBZV2501130016832,PPBZV2501130016832,pgvector_only,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPBZV2501130016832,PPBZV2501130016832,pgvector_plus_graph,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPBZV2501200017684,PPBZV2501200017684,pgvector_only,8,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.25,0.5307212739772434,0.5,1.0,0.6,0.375,0.5296347172140421,0.5,1.0,0.4,0.5,0.47114026184386437,0.5,1.0
PPBZV2501200017684,PPBZV2501200017684,pgvector_plus_graph,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.125,0.07311683844390995,0.1,1.0
PPBZV2501130016880,PPBZV2501130016880,pgvector_only,10,1.0,0.1,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,0.6,0.3,0.7227265726449519,1.0,1.0,0.3,0.3,0.4690000933206748,1.0,1.0
PPBZV2501130016880,PPBZV2501130016880,pgvector_plus_graph,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPBZV2501090016465,PPBZV2501090016465,pgvector_only,7,1.0,0.14285714285714285,1.0,1.0,1.0,0.3333333333333333,0.14285714285714285,0.46927872602275644,1.0,1.0,0.4,0.2857142857142857,0.48522855511632257,1.0,1.0,0.4,0.5714285714285714,0.5778858797137414,1.0,1.0
PPBZV2501090016465,PPBZV2501090016465,pgvector_plus_graph,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPLIK2501230018160,PPLIK2501230018160,pgvector_only,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
PPLIK2501230018160,PPLIK2501230018160,pgvector_plus_graph,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.38685280723454163,0.2,1.0,0.1,1.0,0.38685280723454163,0.2,1.0
PPBZV2501130016890,PPBZV2501130016890,pgvector_only,9,1.0,0.1111111111111111,1.0,1.0,1.0,0.6666666666666666,0.2222222222222222,0.7039180890341347,1.0,1.0,0.4,0.2222222222222222,0.5087403079104241,1.0,1.0,0.3,0.3333333333333333,0.4267169394068027,1.0,1.0
PPBZV2501130016890,PPBZV2501130016890,pgvector_plus_graph,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2222222222222222,0.27727342735504823,0.25,1.0,0.7,0.7777777777777778,0.5670778462264137,0.25,1.0
PPBZV2501150017175,PPBZV2501150017175,pgvector_only,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.09803928583135704,0.1,1.0
